gene_symbol	growth_plate_WT1	growth_plate_WT2	growth_plate_WT3	skin_1	heart_1	kidney_1	brain_1	growth_plate_mean	other_tissue_mean	growth_plate_vs_other_ratio
Dcn	638.6331829999998	624.1407409999998	480.96356	1155.114885	275.751838	62.155576	849.0565849999999	581.2458279999998	585.519721	0.9926837309083407
Fmod	640.7415520000002	683.794624	493.056617	6.946255000000002	2.44908	4.171293	4.272229	605.8642643333334	4.45971425	135.5487689919626
Aspn	140.24631599999998	103.900179	94.716135	103.093314	13.385282	0.985852	70.08358	112.95420999999999	46.887007	2.4085590366139997
Bgn	3085.692684	2834.025618	3118.568591	66.215671	119.22283999999999	165.017174	67.681536	3012.7622976666667	104.53430525	28.81804312977312
Lum	316.385606	277.12775800000003	223.856762	167.8988	22.909924	3.4597050000000005	139.717445	272.45670866666666	83.49646849999999	3.262701842871809
Epyc	96.981507	128.27087899999998	71.924624	0.0	0.390503	0.0	0.0	99.05900333333334	0.09762575	920.4024439628373
Ogn	720.979854	738.712696	512.5439660000002	49.060251	30.400942	17.701028	41.306649	657.4121720000002	34.6172175	18.985417237177668
Omd	104.107968	108.827213	76.01642700000002	4.053623999999999	0.36751300000000003	1.991846	2.7953930000000002	96.31720266666667	2.302094	41.65799602726649
Prelp	208.05458	183.904665	177.561275	20.312673	15.839142	19.386153	12.408857	189.84017333333335	16.98670625	11.16923305851293
Kera	2.0696060000000003	0.949988	0.818194	3.049123	0.019203	0.0	3.3686540000000003	1.2792626666666669	1.609245	0.7900365087844439
Chad	4.446862	4.135282	3.684733	0.089425	2.168323	0.0963	0.0	4.088959	0.5885119999999999	6.831874715962254
Chadl	15.377067000000002	19.221702	11.258061	1.518368	0.79787	4.099387	0.762748	15.28561	1.7945932500000001	8.470390765342827
Tsku	36.894088	36.793137	33.336896	6.383414	1.141328	13.76987	5.964976999999998	35.674707000000005	6.81489725	5.227141991038767
Podn	37.957855	31.881301	29.546909000000003	12.853094	5.8138950000000005	13.768669	6.8440330000000005	33.128688333333336	9.819922750000002	3.3701880651435774
Podnl1	3.918179	2.859843	3.791012	0.092799	0.028643	0.328305	0.115389	3.5230113333333333	0.141284	23.287402060583627
Ecm2	4.8642970000000005	3.7046	3.853569	13.832309	4.7546050000000015	1.855734	6.715782000000001	4.140822	6.7896075	0.6089795624232722
Col2a1	8905.729172	10527.659419	6378.5228369999995	0.028963	0.025994	0.217632	0.016004	8603.970476	0.07214825	104737.112184374
Acan	421.39111900000006	658.154776	308.881772	0.111606	0.022655	0.0	0.114363	462.8092223333333	0.062156	6414.008846573165
Sox9	97.739313	133.50649199999998	80.197727	13.316835	0.5854550000000001	0.332307	10.533203	103.81451066666665	6.19195	16.739011224964187
Comp	830.6783429999999	863.128899	596.3815060000002	1.4642959999999998	6.267176999999999	0.227412	0.333104	763.3962493333333	2.07299725	366.48932173738274
Matn1	368.790345	451.844983	239.986361	0.0	0.0	0.0	0.0	353.540563	0.0	35354.056300000004
Col9a1	459.753194	491.46056500000014	319.08000400000003	0.023475	0.028096	0.0	0.051874	423.43125433333336	0.025861250000000002	11807.487311048368
Col9a2	93.113761	126.62078100000001	62.285533	0.049239	0.058934	0.0	0.136005	94.00669166666667	0.061044499999999995	1323.2085758456556
Col11a1	1138.0292370000002	1397.5205529999996	809.6868039999998	0.632154	0.08365800000000001	0.029349	1.3054400000000002	1115.0788646666667	0.5126502500000001	2133.5087176685875
Col10a1	8.686565	13.768385	8.093867999999999	0.0	0.0	0.0	0.0	10.182939333333332	0.0	1018.2939333333331
Runx2	18.974104	15.169335	12.884967999999999	0.990683	0.128573	0.6395609999999999	1.08984	15.676135666666667	0.71216425	21.707161032502878
Mmp13	163.227495	161.488766	119.51098799999998	0.135371	0.210644	1.487858	0.209381	148.07574966666667	0.5108134999999999	284.31626612341404
Col1a1	3450.1520840000007	2405.8710579999997	2584.979959	822.891348	8.58313	6.87338	400.668324	2813.6677003333334	309.75404549999996	9.083261086004036
Col1a2	2390.80168	1952.413548	1711.694285	1144.821137	13.423748000000002	15.01805	593.491482	2018.3031710000002	441.6886042499999	4.569412607556368
Col3a1	1665.921269	1281.652655	1255.959277	985.146977	31.294957000000004	15.86987	503.19028300000014	1401.1777336666667	383.87552175	3.6499884842730896
Fn1	3244.603707	3415.2974260000005	2447.495368000001	3.3700370000000004	5.804143	9.46	1.230442	3035.7988336666676	4.9661555	610.0691253853839
Vim	2426.389980000001	2617.78202	2714.0314940000003	276.689316	96.0495	29.773881000000006	372.810922	2586.0678313333337	193.83090475	13.34118737563999
Alb	0.0	0.039845	0.0	410.411363	0.0	7.400189	26.151224	0.013281666666666666	110.990694	0.00011965390654824793
Myh6	0.02621	0.027892	0.020413	0.058228	4681.669877	0.086339	0.0	0.024838333333333334	1170.4536110000001	2.1220935960676638e-05
Mbp	2.6736440000000004	0.687585	1.173516	48.085103	1.828672	4.665208999999999	44.533815999999995	1.5115816666666666	24.7782	0.060979888280176316
Krt14	0.0	0.0	0.0	2019.6070559999998	0.0	0.095177	2073.674375	0.0	1023.3441519999999	0.0
Acta1	220.55968700000003	28.862341	168.93714300000005	1213.707274	35.62528500000001	0.113732	984.617462	139.45305700000003	558.5159382500001	0.2496805384490127
