identifier,gene,SLRP_class,analysis_group,old_header
BGN_001,BGN,SLRP_class_I,SLRP_candidate,human|BGN|XP_016885213.1 forward_pident=100.00 forward_qcovs=100.0 reverse_hit=XP_016885213.1
BGN_002,BGN,SLRP_class_I,SLRP_candidate,mouse|BGN|NP_031568.2 forward_pident=95.66 forward_qcovs=100.0 reverse_hit=XP_016885213.1
BGN_003,BGN,SLRP_class_I,SLRP_candidate,rattus_norvegicus|BGN|NP_058783.1 forward_pident=95.39 forward_qcovs=100.0 reverse_hit=XP_016885213.1
BGN_004,BGN,SLRP_class_I,SLRP_candidate,canis_lupus_familiaris|BGN|NP_001003229.1 forward_pident=94.58 forward_qcovs=100.0 reverse_hit=XP_016885213.1
BGN_005,BGN,SLRP_class_I,SLRP_candidate,bos_taurus|BGN|XP_005227715.1 forward_pident=94.58 forward_qcovs=100.0 reverse_hit=XP_016885213.1
BGN_006,BGN,SLRP_class_I,SLRP_candidate,monodelphis_domestica|BGN|XP_001363160.2 forward_pident=56.50 forward_qcovs=96.0 reverse_hit=NP_598010.1
BGN_007,BGN,SLRP_class_I,SLRP_candidate,chicken|BGN|XP_414298.2 forward_pident=60.46 forward_qcovs=83.0 reverse_hit=NP_060150.4
BGN_008,BGN,SLRP_class_I,SLRP_candidate,anolis_carolinensis|BGN|XP_062827322.1 forward_pident=83.24 forward_qcovs=95.0 reverse_hit=XP_016885213.1
BGN_009,BGN,SLRP_class_I,SLRP_candidate,frog|BGN|NP_001072552.1 forward_pident=77.24 forward_qcovs=100.0 reverse_hit=XP_016885213.1
BGN_010,BGN,SLRP_class_I,SLRP_candidate,zebrafish|BGN|NP_001001825.2 forward_pident=70.44 forward_qcovs=97.0 reverse_hit=XP_016885213.1
BGN_011,BGN,SLRP_class_I,SLRP_candidate,lepisosteus_oculatus|BGN|XP_069037386.1 forward_pident=71.80 forward_qcovs=95.0 reverse_hit=XP_016885213.1
BGN_012,BGN,SLRP_class_I,SLRP_candidate,latimeria_chalumnae|BGN|XP_064415290.1 forward_pident=76.26 forward_qcovs=97.0 reverse_hit=XP_016885213.1
BGN_013,BGN,SLRP_class_I,SLRP_candidate,callorhinchus_milii|BGN|NP_001279248.1 forward_pident=57.06 forward_qcovs=99.0 reverse_hit=NP_598010.1
BGN_014,BGN,SLRP_class_I,SLRP_candidate,scyliorhinus_canicula|BGN|XP_038636760.1 forward_pident=55.16 forward_qcovs=99.0 reverse_hit=NP_598010.1
BGN_015,BGN,SLRP_class_I,SLRP_candidate,lamprey|BGN|XP_075929720.1 forward_pident=52.37 forward_qcovs=95.0 reverse_hit=XP_016885213.1
BGN_016,BGN,SLRP_class_I,SLRP_candidate,whale_shark|BGN|XP_048463588.1 forward_pident=56.25 forward_qcovs=99.0 reverse_hit=NP_598010.1
EPYC_001,EPYC,SLRP_class_III,SLRP_candidate,human|EPYC|NP_004941.2 forward_pident=100.00 forward_qcovs=100.0 reverse_hit=NP_004941.2
EPYC_002,EPYC,SLRP_class_III,SLRP_candidate,mouse|EPYC|NP_031910.1 forward_pident=82.30 forward_qcovs=100.0 reverse_hit=NP_004941.2
EPYC_003,EPYC,SLRP_class_III,SLRP_candidate,rattus_norvegicus|EPYC|NP_001101558.1 forward_pident=82.30 forward_qcovs=100.0 reverse_hit=NP_004941.2
EPYC_004,EPYC,SLRP_class_III,SLRP_candidate,canis_lupus_familiaris|EPYC|XP_038414560.1 forward_pident=93.48 forward_qcovs=100.0 reverse_hit=NP_004941.2
EPYC_005,EPYC,SLRP_class_III,SLRP_candidate,bos_taurus|EPYC|XP_010803061.1 forward_pident=92.86 forward_qcovs=100.0 reverse_hit=NP_004941.2
EPYC_006,EPYC,SLRP_class_III,SLRP_candidate,monodelphis_domestica|EPYC|XP_056654622.1 forward_pident=85.09 forward_qcovs=100.0 reverse_hit=NP_004941.2
EPYC_007,EPYC,SLRP_class_III,SLRP_candidate,chicken|EPYC|XP_025003921.1 forward_pident=66.87 forward_qcovs=100.0 reverse_hit=NP_004941.2
EPYC_008,EPYC,SLRP_class_III,SLRP_candidate,anolis_carolinensis|EPYC|XP_003221176.1 forward_pident=73.29 forward_qcovs=99.0 reverse_hit=NP_004941.2
EPYC_009,EPYC,SLRP_class_III,SLRP_candidate,frog|EPYC|XP_031753666.1 forward_pident=65.74 forward_qcovs=100.0 reverse_hit=NP_004941.2
EPYC_010,EPYC,SLRP_class_III,SLRP_candidate,zebrafish|EPYC|XP_021330689.1 forward_pident=61.21 forward_qcovs=72.0 reverse_hit=NP_004941.2
EPYC_011,EPYC,SLRP_class_III,SLRP_candidate,lepisosteus_oculatus|EPYC|XP_006633678.1 forward_pident=58.13 forward_qcovs=99.0 reverse_hit=NP_004941.2
EPYC_012,EPYC,SLRP_class_III,SLRP_candidate,latimeria_chalumnae|EPYC|XP_006009490.1 forward_pident=55.52 forward_qcovs=100.0 reverse_hit=NP_004941.2
EPYC_013,EPYC,SLRP_class_III,SLRP_candidate,callorhinchus_milii|EPYC|XP_007893502.1 forward_pident=49.56 forward_qcovs=99.0 reverse_hit=NP_004941.2
EPYC_014,EPYC,SLRP_class_III,SLRP_candidate,scyliorhinus_canicula|EPYC|XP_038636412.1 forward_pident=53.17 forward_qcovs=88.0 reverse_hit=NP_004941.2
EPYC_015,EPYC,SLRP_class_III,SLRP_candidate,whale_shark|EPYC|XP_048463897.1 forward_pident=61.16 forward_qcovs=64.0 reverse_hit=XP_011536310.1
FMOD_001,FMOD,SLRP_class_II,SLRP_candidate,human|FMOD|XP_047272260.1 forward_pident=100.00 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_002,FMOD,SLRP_class_II,SLRP_candidate,mouse|FMOD|NP_067330.1 forward_pident=92.55 forward_qcovs=100.0 reverse_hit=XP_047272260.1
FMOD_003,FMOD,SLRP_class_II,SLRP_candidate,rattus_norvegicus|FMOD|NP_542429.1 forward_pident=92.29 forward_qcovs=100.0 reverse_hit=XP_047272260.1
