LABELS
SEPARATOR TAB
DATA
human_OGN_NP_148935.1	Human
mouse_OGN_NP_032786.1	Mouse
monodelphis_domestica_OGN_XP_056660002.1	Opossum
amphioxus_OGN_XP_066265713.1	Amphioxus
chicken_OGN_NP_989540.1	Chicken
anolis_carolinensis_OGN_XP_008103381.1	Anole
latimeria_chalumnae_OGN_XP_005987116.1	Coelacanth
callorhinchus_milii_OGN_XP_007907071.1	Elephant shark
scyliorhinus_canicula_OGN_XP_038668531.1	Catshark
whale_shark_OGN_XP_020377273.1	Whale shark
frog_OGN_XP_002934273.1	Frog
zebrafish_OGN_NP_001013588.1	Zebrafish
lepisosteus_oculatus_OGN_XP_006631165.2	Spotted gar
canis_lupus_familiaris_OGN_XP_038383338.1	Dog
bos_taurus_OGN_NP_776371.1	Cow
