Gene	Species	Protein accession	Protein length	Number of significant Pfam domains	Number of LRR-related domains	Detected domain families	Domain quality	Raw domain status
BGN	anolis_carolinensis	XP_062827322.1	371	6	6	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
BGN	bos_taurus	XP_005227715.1	369	8	8	LRRNT,LRR_4,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
BGN	callorhinchus_milii	NP_001279248.1	354	7	7	LRRNT,LRR_14,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
BGN	canis_lupus_familiaris	NP_001003229.1	369	6	6	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
BGN	chicken	XP_414298.2	371	7	7	LRRNT,LRR_4,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
BGN	frog	NP_001072552.1	369	8	8	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
BGN	human	XP_016885213.1	368	7	7	LRRNT,LRR_4,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
BGN	lamprey	XP_075929720.1	411	8	8	LRRNT,LRR_4,LRR_8	Good SLRP-like domain architecture	SLRP_like
BGN	latimeria_chalumnae	XP_064415290.1	367	8	8	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
BGN	lepisosteus_oculatus	XP_069037386.1	362	8	8	LRRNT,LRR_4,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
BGN	monodelphis_domestica	XP_001363160.2	356	10	10	LRRNT,LRR_14,LRR_4,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
BGN	mouse	NP_031568.2	369	7	7	LRRNT,LRR_4,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
BGN	rattus_norvegicus	NP_058783.1	369	7	7	LRRNT,LRR_4,LRR_8,LRR_9	Good SLRP-like domain architecture	SLRP_like
BGN	scyliorhinus_canicula	XP_038636760.1	350	6	6	LRRNT,LRR_14,LRR_5,LRR_8	Good SLRP-like domain architecture	SLRP_like
