Gene	Species	Protein accession	Alignment file	Protein length	Alignment length	Gap percentage	MSA quality	Raw MSA status
BGN	human	XP_016885213.1	BGN_aligned.faa	368	431	14.62	Good	ok
BGN	mouse	NP_031568.2	BGN_aligned.faa	369	431	14.39	Good	ok
BGN	rattus_norvegicus	NP_058783.1	BGN_aligned.faa	369	431	14.39	Good	ok
BGN	canis_lupus_familiaris	NP_001003229.1	BGN_aligned.faa	369	431	14.39	Good	ok
BGN	bos_taurus	XP_005227715.1	BGN_aligned.faa	369	431	14.39	Good	ok
BGN	monodelphis_domestica	XP_001363160.2	BGN_aligned.faa	356	431	17.4	Good	ok
BGN	chicken	XP_414298.2	BGN_aligned.faa	371	431	13.92	Good	ok
BGN	anolis_carolinensis	XP_062827322.1	BGN_aligned.faa	371	431	13.92	Good	ok
BGN	frog	NP_001072552.1	BGN_aligned.faa	369	431	14.39	Good	ok
BGN	zebrafish	NP_001001825.2	BGN_aligned.faa	374	431	13.23	Good	ok
BGN	lepisosteus_oculatus	XP_069037386.1	BGN_aligned.faa	362	431	16.01	Good	ok
BGN	latimeria_chalumnae	XP_064415290.1	BGN_aligned.faa	367	431	14.85	Good	ok
BGN	callorhinchus_milii	NP_001279248.1	BGN_aligned.faa	354	431	17.87	Good	ok
BGN	scyliorhinus_canicula	XP_038636760.1	BGN_aligned.faa	350	431	18.79	Good	ok
BGN	lamprey	XP_075929720.1	BGN_aligned.faa	411	431	4.64	Good	ok
BGN	whale_shark	XP_048463588.1	BGN_aligned.faa	350	431	18.79	Good	ok
EPYC	human	NP_004941.2	EPYC_aligned.faa	322	386	16.58	Good	ok
EPYC	mouse	NP_031910.1	EPYC_aligned.faa	322	386	16.58	Good	ok
EPYC	rattus_norvegicus	NP_001101558.1	EPYC_aligned.faa	359	386	6.99	Good	ok
EPYC	canis_lupus_familiaris	XP_038414560.1	EPYC_aligned.faa	320	386	17.1	Good	ok
EPYC	bos_taurus	XP_010803061.1	EPYC_aligned.faa	321	386	16.84	Good	ok
EPYC	monodelphis_domestica	XP_056654622.1	EPYC_aligned.faa	318	386	17.62	Good	ok
EPYC	chicken	XP_025003921.1	EPYC_aligned.faa	332	386	13.99	Good	ok
EPYC	anolis_carolinensis	XP_003221176.1	EPYC_aligned.faa	317	386	17.88	Good	ok
EPYC	frog	XP_031753666.1	EPYC_aligned.faa	318	386	17.62	Good	ok
